"DATE_TIME";"1__1_4550_002_A___Actual_Valve_Position";"1__1_4550_003_A___Desired_Valve_Position";"1__1_4550_102_B___Actual_Valve_Position";"1__1_4550_103_B___Desired_Valve_Position"
"2025-05-19 11:48:31 068000us";62.40;62.00;62.00;62.40
"2025-05-19 11:48:31 168000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:31 268000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:31 368000us";61.60;62.40;62.00;62.00
"2025-05-19 11:48:31 468000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:31 568000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:31 668000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:31 768000us";62.00;62.00;62.00;61.60
"2025-05-19 11:48:31 868000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:31 968000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:32 068000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 168000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:32 268000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 368000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 468000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 568000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:32 768000us";61.60;61.20;61.20;61.20
"2025-05-19 11:48:32 868000us";61.20;61.60;61.20;61.20
"2025-05-19 11:48:32 968000us";61.60;61.60;61.20;61.20
"2025-05-19 11:48:33 068000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:33 168000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:33 268000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:33 368000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:33 468000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:33 568000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:33 668000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:33 768000us";62.00;62.00;62.00;61.60
"2025-05-19 11:48:33 868000us";62.00;61.60;62.00;61.60
"2025-05-19 11:48:33 968000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:34 068000us";61.60;62.00;62.00;61.60
"2025-05-19 11:48:34 168000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:34 268000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:34 368000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:34 468000us";62.00;62.00;62.00;61.60
"2025-05-19 11:48:34 568000us";62.00;62.40;62.00;62.00
"2025-05-19 11:48:34 668000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:34 768000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:34 868000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:34 968000us";62.40;62.40;62.00;62.00
"2025-05-19 11:48:35 068000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:35 168000us";62.00;61.60;62.00;61.60
"2025-05-19 11:48:35 268000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:35 368000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:35 468000us";62.00;61.60;62.00;62.00
"2025-05-19 11:48:35 568000us";62.00;61.60;62.00;62.00
"2025-05-19 11:48:35 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:35 768000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:35 868000us";61.60;61.20;61.60;61.60
"2025-05-19 11:48:35 968000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:36 068000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:36 168000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:36 268000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:36 368000us";61.60;61.60;61.60;62.00
"2025-05-19 11:48:36 468000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:36 568000us";62.00;62.40;62.00;62.00
"2025-05-19 11:48:36 668000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:36 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:36 868000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:36 968000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:37 068000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:37 168000us";61.60;61.20;62.00;61.20
"2025-05-19 11:48:37 268000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:37 368000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:37 468000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:37 568000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:37 668000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:37 768000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:37 868000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:37 968000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:38 068000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:38 168000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:38 268000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:38 368000us";61.60;61.60;61.60;62.00
"2025-05-19 11:48:38 468000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:38 568000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:38 668000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:38 768000us";61.60;61.20;62.00;61.60
"2025-05-19 11:48:38 868000us";61.60;61.60;61.20;62.00
"2025-05-19 11:48:38 968000us";61.60;62.00;61.20;62.00
"2025-05-19 11:48:39 068000us";61.20;61.60;62.00;61.60
"2025-05-19 11:48:39 168000us";61.60;61.20;62.00;61.60
"2025-05-19 11:48:39 268000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:39 368000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:39 468000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:39 568000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:39 668000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:39 768000us";61.20;61.60;61.20;61.20
"2025-05-19 11:48:39 868000us";61.20;61.60;61.60;61.20
"2025-05-19 11:48:39 968000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:40 068000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:40 168000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:40 268000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:40 368000us";61.20;60.80;60.80;60.80
"2025-05-19 11:48:40 468000us";61.20;60.80;60.80;60.80
"2025-05-19 11:48:40 568000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:40 668000us";60.80;60.40;60.80;60.40
"2025-05-19 11:48:40 768000us";60.80;60.40;60.00;60.40
"2025-05-19 11:48:40 868000us";60.80;60.40;60.40;60.40
"2025-05-19 11:48:40 968000us";60.40;60.80;60.40;60.00
"2025-05-19 11:48:41 068000us";60.40;60.00;60.40;60.00
"2025-05-19 11:48:41 168000us";55.60;60.00;60.00;60.40
"2025-05-19 11:48:41 268000us";56.40;60.80;60.40;61.20
"2025-05-19 11:48:41 368000us";62.00;61.20;60.80;61.20
"2025-05-19 11:48:41 468000us";61.20;60.80;60.80;60.40
"2025-05-19 11:48:41 568000us";61.20;60.40;60.80;60.40
"2025-05-19 11:48:41 668000us";61.20;60.80;60.80;60.80
"2025-05-19 11:48:41 768000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:41 868000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:41 968000us";60.80;60.80;61.20;60.80
"2025-05-19 11:48:42 068000us";61.20;61.20;60.80;60.80
"2025-05-19 11:48:42 168000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:42 268000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:42 368000us";61.20;61.20;61.60;61.60
"2025-05-19 11:48:42 468000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:42 568000us";61.20;61.20;61.60;61.60
"2025-05-19 11:48:42 668000us";61.20;62.00;61.60;61.60
"2025-05-19 11:48:42 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:42 868000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:42 968000us";61.60;62.40;61.60;62.00
"2025-05-19 11:48:43 068000us";62.00;62.40;62.40;62.40
"2025-05-19 11:48:43 168000us";62.40;62.00;62.40;62.40
"2025-05-19 11:48:43 268000us";62.40;61.60;62.40;62.00
"2025-05-19 11:48:43 368000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:43 468000us";62.00;62.00;62.00;61.60
"2025-05-19 11:48:43 568000us";62.00;61.60;62.00;62.00
"2025-05-19 11:48:43 668000us";62.00;61.60;61.60;61.60
"2025-05-19 11:48:43 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:43 868000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:43 968000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:44 068000us";61.60;61.20;61.20;61.20
"2025-05-19 11:48:44 168000us";61.20;62.00;61.20;62.00
"2025-05-19 11:48:44 268000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:44 368000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:44 468000us";62.00;61.60;61.60;62.00
"2025-05-19 11:48:44 568000us";61.60;61.60;61.60;62.00
"2025-05-19 11:48:44 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:44 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:44 868000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:44 968000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:45 068000us";61.20;60.80;61.20;60.80
"2025-05-19 11:48:45 168000us";60.80;60.40;60.40;60.80
"2025-05-19 11:48:45 268000us";61.20;60.80;60.40;60.80
"2025-05-19 11:48:45 368000us";60.80;60.80;60.40;60.80
"2025-05-19 11:48:45 468000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:45 568000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:45 668000us";61.20;61.20;61.60;61.20
"2025-05-19 11:48:45 768000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:45 868000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:45 968000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:46 068000us";62.00;61.60;61.60;61.60
"2025-05-19 11:48:46 168000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:46 268000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:46 368000us";62.00;62.40;62.00;62.40
"2025-05-19 11:48:46 468000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:46 568000us";62.40;62.40;62.40;62.80
"2025-05-19 11:48:46 668000us";62.40;62.80;62.40;62.80
"2025-05-19 11:48:46 768000us";62.80;62.40;62.40;62.40
"2025-05-19 11:48:46 868000us";63.20;62.80;62.80;62.80
"2025-05-19 11:48:46 968000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:47 068000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:47 168000us";62.80;62.80;62.40;62.80
"2025-05-19 11:48:47 268000us";62.80;62.40;62.40;63.20
"2025-05-19 11:48:47 368000us";62.40;63.20;62.40;63.20
"2025-05-19 11:48:47 468000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:47 568000us";63.20;63.20;63.20;63.20
"2025-05-19 11:48:47 668000us";63.20;62.80;63.20;62.80
"2025-05-19 11:48:47 768000us";62.80;63.20;62.80;63.20
"2025-05-19 11:48:47 868000us";63.20;62.40;63.20;62.80
"2025-05-19 11:48:47 968000us";63.20;62.80;62.80;62.40
"2025-05-19 11:48:48 068000us";62.80;62.80;62.80;62.40
"2025-05-19 11:48:48 168000us";62.80;62.80;62.40;62.40
"2025-05-19 11:48:48 268000us";62.80;62.40;62.40;62.40
"2025-05-19 11:48:48 368000us";62.80;62.40;62.80;62.80
"2025-05-19 11:48:48 468000us";62.80;62.40;62.40;62.00
"2025-05-19 11:48:48 568000us";62.40;62.40;62.00;62.00
"2025-05-19 11:48:48 668000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:48 768000us";62.40;62.00;62.00;62.00
"2025-05-19 11:48:48 868000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:48 968000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:49 068000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:49 168000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:49 268000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:49 368000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:49 468000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:49 568000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:49 668000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:49 768000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:49 868000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:49 968000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:50 068000us";61.20;61.20;61.20;61.60
"2025-05-19 11:48:50 168000us";61.20;61.20;61.20;61.60
"2025-05-19 11:48:50 268000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:50 368000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:50 468000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:50 568000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:50 668000us";61.20;61.20;61.60;61.20
"2025-05-19 11:48:50 768000us";61.20;61.60;61.60;61.20
"2025-05-19 11:48:50 868000us";61.20;61.60;61.60;61.20
"2025-05-19 11:48:50 968000us";61.60;62.00;61.60;62.40
"2025-05-19 11:48:51 068000us";61.20;61.60;62.00;61.60
"2025-05-19 11:48:51 168000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:51 268000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:51 368000us";61.60;62.00;61.20;62.00
"2025-05-19 11:48:51 468000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:51 568000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:51 668000us";62.00;62.00;62.40;62.00
"2025-05-19 11:48:51 768000us";62.00;62.00;62.00;62.40
"2025-05-19 11:48:51 868000us";62.00;62.40;62.00;62.00
"2025-05-19 11:48:51 968000us";62.00;62.40;62.40;62.40
"2025-05-19 11:48:52 068000us";62.00;62.80;62.40;62.00
"2025-05-19 11:48:52 168000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:52 268000us";62.00;62.40;62.40;62.40
"2025-05-19 11:48:52 368000us";62.40;62.80;62.40;62.40
"2025-05-19 11:48:52 468000us";62.40;63.20;62.80;62.80
"2025-05-19 11:48:52 568000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:52 668000us";62.40;62.40;62.80;62.40
"2025-05-19 11:48:52 768000us";62.40;62.80;62.40;62.80
"2025-05-19 11:48:52 868000us";62.80;63.20;62.80;63.20
"2025-05-19 11:48:52 968000us";62.80;62.80;62.80;63.20
"2025-05-19 11:48:53 068000us";62.40;62.80;63.20;62.80
"2025-05-19 11:48:53 168000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:53 268000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:53 368000us";62.80;62.80;62.80;62.80
"2025-05-19 11:48:53 468000us";62.40;62.80;62.80;62.80
"2025-05-19 11:48:53 568000us";62.40;62.80;62.40;62.40
"2025-05-19 11:48:53 668000us";62.80;62.80;62.40;62.40
"2025-05-19 11:48:53 768000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:53 868000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:53 968000us";62.40;61.60;62.40;62.00
"2025-05-19 11:48:54 068000us";62.00;61.60;61.60;61.20
"2025-05-19 11:48:54 168000us";61.60;61.20;61.20;61.20
"2025-05-19 11:48:54 268000us";61.20;61.20;60.80;60.80
"2025-05-19 11:48:54 368000us";61.20;61.20;60.80;60.80
"2025-05-19 11:48:54 468000us";60.80;60.80;60.80;60.40
"2025-05-19 11:48:54 568000us";60.80;60.80;60.40;60.80
"2025-05-19 11:48:54 668000us";60.80;60.40;60.80;60.80
"2025-05-19 11:48:54 768000us";60.80;61.20;60.40;60.40
"2025-05-19 11:48:54 868000us";57.60;61.60;60.80;61.20
"2025-05-19 11:48:54 968000us";60.80;60.80;61.20;61.20
"2025-05-19 11:48:55 068000us";61.20;61.60;61.20;61.20
"2025-05-19 11:48:55 168000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:55 268000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:55 368000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:55 468000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:55 568000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:55 668000us";62.40;62.80;62.40;62.40
"2025-05-19 11:48:55 768000us";62.40;62.00;62.40;62.40
"2025-05-19 11:48:55 868000us";62.00;62.40;62.00;62.00
"2025-05-19 11:48:55 968000us";62.40;62.40;62.40;62.00
"2025-05-19 11:48:56 068000us";62.40;62.80;62.00;62.00
"2025-05-19 11:48:56 168000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:56 268000us";62.00;62.40;62.40;62.00
"2025-05-19 11:48:56 368000us";62.40;62.00;62.00;62.40
"2025-05-19 11:48:56 468000us";62.40;62.80;62.00;62.40
"2025-05-19 11:48:56 568000us";62.40;62.40;62.00;62.40
"2025-05-19 11:48:56 668000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:56 768000us";62.40;62.40;62.80;62.40
"2025-05-19 11:48:56 868000us";62.80;62.40;62.40;62.40
"2025-05-19 11:48:56 968000us";62.80;62.40;62.40;62.80
"2025-05-19 11:48:57 068000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:57 168000us";62.40;62.40;62.40;62.40
"2025-05-19 11:48:57 268000us";62.40;62.40;62.40;62.00
"2025-05-19 11:48:57 368000us";62.40;62.00;62.00;62.40
"2025-05-19 11:48:57 468000us";62.40;62.00;62.00;62.00
"2025-05-19 11:48:57 568000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:57 668000us";62.40;62.40;62.00;62.00
"2025-05-19 11:48:57 768000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:57 868000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:57 968000us";62.00;61.60;62.00;61.60
"2025-05-19 11:48:58 068000us";62.00;61.60;61.20;61.60
"2025-05-19 11:48:58 168000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:58 268000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:58 368000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:58 468000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:58 568000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:58 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:58 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:58 868000us";62.00;62.40;62.00;62.00
"2025-05-19 11:48:58 968000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:59 068000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:59 168000us";62.00;62.00;61.60;61.60
"2025-05-19 11:48:59 268000us";62.00;62.00;61.60;61.60
"2025-05-19 11:48:59 368000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:59 468000us";62.00;61.20;61.60;61.60
"2025-05-19 11:48:59 568000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:59 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:59 768000us";61.60;61.60;61.60;62.00
"2025-05-19 11:48:59 868000us";62.00;61.60;61.60;61.60
"2025-05-19 11:48:59 968000us";61.60;61.60;61.60;61.60
"2025-05-19 11:49:00 068000us";61.60;62.00;62.00;62.00
"2025-05-19 11:49:00 168000us";62.00;61.60;61.60;62.00
"2025-05-19 11:49:00 268000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:00 368000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:00 468000us";61.60;62.00;61.60;61.60
"2025-05-19 11:49:00 568000us";62.00;62.40;62.00;62.00
"2025-05-19 11:49:00 668000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:00 768000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:00 868000us";62.40;62.40;62.00;62.00
"2025-05-19 11:49:00 968000us";62.00;62.40;62.00;62.40
"2025-05-19 11:49:01 068000us";62.00;62.40;62.40;62.40
"2025-05-19 11:49:01 168000us";62.40;62.40;62.40;62.00
"2025-05-19 11:49:01 268000us";62.40;62.80;62.40;62.40
"2025-05-19 11:49:01 368000us";62.00;62.40;62.40;62.40
"2025-05-19 11:49:01 468000us";62.00;62.40;62.40;62.40
"2025-05-19 11:49:01 568000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:01 668000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:01 768000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:01 868000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:01 968000us";62.40;62.40;62.40;62.80
"2025-05-19 11:49:02 068000us";62.40;62.80;62.40;62.80
"2025-05-19 11:49:02 168000us";62.40;62.80;62.80;62.40
"2025-05-19 11:49:02 268000us";62.40;62.80;62.80;62.80
"2025-05-19 11:49:02 368000us";62.40;62.00;62.40;62.00
"2025-05-19 11:49:02 468000us";62.40;62.80;62.00;62.40
"2025-05-19 11:49:02 568000us";62.00;62.80;62.40;62.80
"2025-05-19 11:49:02 668000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:02 768000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:02 868000us";62.00;62.80;62.40;62.40
"2025-05-19 11:49:02 968000us";62.40;62.40;62.40;62.40
"2025-05-19 11:49:03 068000us";62.40;62.40;62.40;62.00
"2025-05-19 11:49:03 168000us";62.40;62.00;62.00;62.00
"2025-05-19 11:49:03 268000us";62.00;62.40;62.00;62.00
"2025-05-19 11:49:03 368000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:03 468000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:03 568000us";62.00;62.00;62.00;61.60
"2025-05-19 11:49:03 668000us";61.60;62.40;61.60;62.40
"2025-05-19 11:49:03 768000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:03 868000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:03 968000us";62.00;62.00;62.00;61.60
"2025-05-19 11:49:04 068000us";61.60;62.40;62.00;62.00
"2025-05-19 11:49:04 168000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:04 268000us";62.00;61.60;62.00;61.60
"2025-05-19 11:49:04 368000us";62.00;62.00;62.00;62.00
"2025-05-19 11:49:04 468000us";61.60;62.00;61.60;61.60
"2025-05-19 11:49:04 568000us";61.60;62.00;61.60;62.00
